Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,TO,Total merchandise,M,Imports,1948,million USD,387,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1948,million USD,520,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1950,million USD,580,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1950,million USD,550,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1951,million USD,1200,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1951,million USD,760,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1952,million USD,1120,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1952,million USD,820,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1953,million USD,1350,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1953,million USD,1020,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1954,million USD,1150,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1954,million USD,1290,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1955,million USD,1410,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1955,million USD,1730,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1956,million USD,1650,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1956,million USD,1560,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1957,million USD,2213.82,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1957,million USD,2031.03,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1958,million USD,2725.64,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1958,million USD,2506.29,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1959,million USD,3172.46,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1959,million USD,2892.18,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1960,million USD,2571.28,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1960,million USD,2648.46,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1961,million USD,1941.66,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1961,million USD,1746.68,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1962,million USD,1913.23,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1962,million USD,1372.97,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1963,million USD,2031.03,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1963,million USD,1450.15,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1964,million USD,2250.38,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1964,million USD,1710.12,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1965,million USD,2563.16,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1965,million USD,2246.32,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1966,million USD,2680.95,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1966,million USD,2481.91,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1967,million USD,2388.49,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1967,million USD,2169.14,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1968,million USD,2067.58,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1968,million USD,2339.74,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1969,million USD,2429.11,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1969,million USD,1917.29,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1970,million USD,2278.81,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1970,million USD,2307.25,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1971,million USD,2128.52,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1971,million USD,2782.51,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1972,million USD,2850.69,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1972,million USD,3692.54,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1973,million USD,5207.56,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1973,million USD,5876.1,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1974,million USD,7791.15,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1974,million USD,7107.89,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1975,million USD,7925.58,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1975,million USD,7689,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1976,million USD,6660.14,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1976,million USD,6943.44,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1977,million USD,7148.24,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1977,million USD,7519.65,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1978,million USD,11130.9,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1978,million USD,9954.86,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1979,million USD,13614.1,,WTO,
